ID,Actual_Address,Actual_Longitude,Actual_Latitude,Matched_Address,Matched_Longitude,Matched_Latitude,Geodetic_Distance_m
2382,Actual Address 2382,Actual Long 2382,Actual Lat 2382,Matched Address 2382,Matched Long 2382,Matched Lat 2382,14
2383,Actual Address 2383,Actual Long 2383,Actual Lat 2383,Matched Address 2383,Matched Long 2383,Matched Lat 2383,15
2384,Actual Address 2384,Actual Long 2384,Actual Lat 2384,Matched Address 2384,Matched Long 2384,Matched Lat 2384,10
2385,Actual Address 2385,Actual Long 2385,Actual Lat 2385,Matched Address 2385,Matched Long 2385,Matched Lat 2385,9
2386,Actual Address 2386,Actual Long 2386,Actual Lat 2386,Matched Address 2386,Matched Long 2386,Matched Lat 2386,21
2387,Actual Address 2387,Actual Long 2387,Actual Lat 2387,Matched Address 2387,Matched Long 2387,Matched Lat 2387,17
2388,Actual Address 2388,Actual Long 2388,Actual Lat 2388,Matched Address 2388,Matched Long 2388,Matched Lat 2388,19
2389,Actual Address 2389,Actual Long 2389,Actual Lat 2389,Matched Address 2389,Matched Long 2389,Matched Lat 2389,14
2390,Actual Address 2390,Actual Long 2390,Actual Lat 2390,Matched Address 2390,Matched Long 2390,Matched Lat 2390,10
2391,Actual Address 2391,Actual Long 2391,Actual Lat 2391,Matched Address 2391,Matched Long 2391,Matched Lat 2391,10
2392,Actual Address 2392,Actual Long 2392,Actual Lat 2392,Matched Address 2392,Matched Long 2392,Matched Lat 2392,12
2393,Actual Address 2393,Actual Long 2393,Actual Lat 2393,Matched Address 2393,Matched Long 2393,Matched Lat 2393,15
2394,Actual Address 2394,Actual Long 2394,Actual Lat 2394,Matched Address 2394,Matched Long 2394,Matched Lat 2394,146127
2395,Actual Address 2395,Actual Long 2395,Actual Lat 2395,Matched Address 2395,Matched Long 2395,Matched Lat 2395,13
2396,Actual Address 2396,Actual Long 2396,Actual Lat 2396,Matched Address 2396,Matched Long 2396,Matched Lat 2396,10
2397,Actual Address 2397,Actual Long 2397,Actual Lat 2397,Matched Address 2397,Matched Long 2397,Matched Lat 2397,18
2398,Actual Address 2398,Actual Long 2398,Actual Lat 2398,Matched Address 2398,Matched Long 2398,Matched Lat 2398,58
2399,Actual Address 2399,Actual Long 2399,Actual Lat 2399,Matched Address 2399,Matched Long 2399,Matched Lat 2399,13
2400,Actual Address 2400,Actual Long 2400,Actual Lat 2400,Matched Address 2400,Matched Long 2400,Matched Lat 2400,9
2401,Actual Address 2401,Actual Long 2401,Actual Lat 2401,Matched Address 2401,Matched Long 2401,Matched Lat 2401,10
2402,Actual Address 2402,Actual Long 2402,Actual Lat 2402,Matched Address 2402,Matched Long 2402,Matched Lat 2402,8
2403,Actual Address 2403,Actual Long 2403,Actual Lat 2403,Matched Address 2403,Matched Long 2403,Matched Lat 2403,4
2404,Actual Address 2404,Actual Long 2404,Actual Lat 2404,Matched Address 2404,Matched Long 2404,Matched Lat 2404,9
2405,Actual Address 2405,Actual Long 2405,Actual Lat 2405,Matched Address 2405,Matched Long 2405,Matched Lat 2405,12
2406,Actual Address 2406,Actual Long 2406,Actual Lat 2406,Matched Address 2406,Matched Long 2406,Matched Lat 2406,7
2407,Actual Address 2407,Actual Long 2407,Actual Lat 2407,Matched Address 2407,Matched Long 2407,Matched Lat 2407,61
2408,Actual Address 2408,Actual Long 2408,Actual Lat 2408,Matched Address 2408,Matched Long 2408,Matched Lat 2408,15
2409,Actual Address 2409,Actual Long 2409,Actual Lat 2409,Matched Address 2409,Matched Long 2409,Matched Lat 2409,18
2410,Actual Address 2410,Actual Long 2410,Actual Lat 2410,Matched Address 2410,Matched Long 2410,Matched Lat 2410,18
2411,Actual Address 2411,Actual Long 2411,Actual Lat 2411,Matched Address 2411,Matched Long 2411,Matched Lat 2411,9
2412,Actual Address 2412,Actual Long 2412,Actual Lat 2412,Matched Address 2412,Matched Long 2412,Matched Lat 2412,346
2413,Actual Address 2413,Actual Long 2413,Actual Lat 2413,Matched Address 2413,Matched Long 2413,Matched Lat 2413,6
2414,Actual Address 2414,Actual Long 2414,Actual Lat 2414,Matched Address 2414,Matched Long 2414,Matched Lat 2414,37
2415,Actual Address 2415,Actual Long 2415,Actual Lat 2415,Matched Address 2415,Matched Long 2415,Matched Lat 2415,47
2416,Actual Address 2416,Actual Long 2416,Actual Lat 2416,Matched Address 2416,Matched Long 2416,Matched Lat 2416,9
2417,Actual Address 2417,Actual Long 2417,Actual Lat 2417,Matched Address 2417,Matched Long 2417,Matched Lat 2417,9
2418,Actual Address 2418,Actual Long 2418,Actual Lat 2418,Matched Address 2418,Matched Long 2418,Matched Lat 2418,7
2419,Actual Address 2419,Actual Long 2419,Actual Lat 2419,Matched Address 2419,Matched Long 2419,Matched Lat 2419,30
2420,Actual Address 2420,Actual Long 2420,Actual Lat 2420,Matched Address 2420,Matched Long 2420,Matched Lat 2420,7
2421,Actual Address 2421,Actual Long 2421,Actual Lat 2421,Matched Address 2421,Matched Long 2421,Matched Lat 2421,2
2422,Actual Address 2422,Actual Long 2422,Actual Lat 2422,Matched Address 2422,Matched Long 2422,Matched Lat 2422,14
2423,Actual Address 2423,Actual Long 2423,Actual Lat 2423,Matched Address 2423,Matched Long 2423,Matched Lat 2423,9
2424,Actual Address 2424,Actual Long 2424,Actual Lat 2424,Matched Address 2424,Matched Long 2424,Matched Lat 2424,50
2425,Actual Address 2425,Actual Long 2425,Actual Lat 2425,Matched Address 2425,Matched Long 2425,Matched Lat 2425,11
2426,Actual Address 2426,Actual Long 2426,Actual Lat 2426,Matched Address 2426,Matched Long 2426,Matched Lat 2426,4
2427,Actual Address 2427,Actual Long 2427,Actual Lat 2427,Matched Address 2427,Matched Long 2427,Matched Lat 2427,14
2428,Actual Address 2428,Actual Long 2428,Actual Lat 2428,Matched Address 2428,Matched Long 2428,Matched Lat 2428,13
2429,Actual Address 2429,Actual Long 2429,Actual Lat 2429,Matched Address 2429,Matched Long 2429,Matched Lat 2429,82816
2430,Actual Address 2430,Actual Long 2430,Actual Lat 2430,Matched Address 2430,Matched Long 2430,Matched Lat 2430,126
2431,Actual Address 2431,Actual Long 2431,Actual Lat 2431,Matched Address 2431,Matched Long 2431,Matched Lat 2431,17
2432,Actual Address 2432,Actual Long 2432,Actual Lat 2432,Matched Address 2432,Matched Long 2432,Matched Lat 2432,246
2433,Actual Address 2433,Actual Long 2433,Actual Lat 2433,Matched Address 2433,Matched Long 2433,Matched Lat 2433,60
2434,Actual Address 2434,Actual Long 2434,Actual Lat 2434,Matched Address 2434,Matched Long 2434,Matched Lat 2434,14
2435,Actual Address 2435,Actual Long 2435,Actual Lat 2435,Matched Address 2435,Matched Long 2435,Matched Lat 2435,93
2436,Actual Address 2436,Actual Long 2436,Actual Lat 2436,Matched Address 2436,Matched Long 2436,Matched Lat 2436,45
2437,Actual Address 2437,Actual Long 2437,Actual Lat 2437,Matched Address 2437,Matched Long 2437,Matched Lat 2437,18
2438,Actual Address 2438,Actual Long 2438,Actual Lat 2438,Matched Address 2438,Matched Long 2438,Matched Lat 2438,12
2439,Actual Address 2439,Actual Long 2439,Actual Lat 2439,Matched Address 2439,Matched Long 2439,Matched Lat 2439,12
2440,Actual Address 2440,Actual Long 2440,Actual Lat 2440,Matched Address 2440,Matched Long 2440,Matched Lat 2440,118
2441,Actual Address 2441,Actual Long 2441,Actual Lat 2441,Matched Address 2441,Matched Long 2441,Matched Lat 2441,12
2442,Actual Address 2442,Actual Long 2442,Actual Lat 2442,Matched Address 2442,Matched Long 2442,Matched Lat 2442,492
2443,Actual Address 2443,Actual Long 2443,Actual Lat 2443,Matched Address 2443,Matched Long 2443,Matched Lat 2443,5
2444,Actual Address 2444,Actual Long 2444,Actual Lat 2444,Matched Address 2444,Matched Long 2444,Matched Lat 2444,16
2445,Actual Address 2445,Actual Long 2445,Actual Lat 2445,Matched Address 2445,Matched Long 2445,Matched Lat 2445,15
2446,Actual Address 2446,Actual Long 2446,Actual Lat 2446,Matched Address 2446,Matched Long 2446,Matched Lat 2446,14
2447,Actual Address 2447,Actual Long 2447,Actual Lat 2447,Matched Address 2447,Matched Long 2447,Matched Lat 2447,14
2448,Actual Address 2448,Actual Long 2448,Actual Lat 2448,Matched Address 2448,Matched Long 2448,Matched Lat 2448,22
2449,Actual Address 2449,Actual Long 2449,Actual Lat 2449,Matched Address 2449,Matched Long 2449,Matched Lat 2449,21
2450,Actual Address 2450,Actual Long 2450,Actual Lat 2450,Matched Address 2450,Matched Long 2450,Matched Lat 2450,251
2451,Actual Address 2451,Actual Long 2451,Actual Lat 2451,Matched Address 2451,Matched Long 2451,Matched Lat 2451,15
2452,Actual Address 2452,Actual Long 2452,Actual Lat 2452,Matched Address 2452,Matched Long 2452,Matched Lat 2452,4
2453,Actual Address 2453,Actual Long 2453,Actual Lat 2453,Matched Address 2453,Matched Long 2453,Matched Lat 2453,12
2454,Actual Address 2454,Actual Long 2454,Actual Lat 2454,Matched Address 2454,Matched Long 2454,Matched Lat 2454,15
2455,Actual Address 2455,Actual Long 2455,Actual Lat 2455,Matched Address 2455,Matched Long 2455,Matched Lat 2455,14
2456,Actual Address 2456,Actual Long 2456,Actual Lat 2456,Matched Address 2456,Matched Long 2456,Matched Lat 2456,10
2457,Actual Address 2457,Actual Long 2457,Actual Lat 2457,Matched Address 2457,Matched Long 2457,Matched Lat 2457,119
2458,Actual Address 2458,Actual Long 2458,Actual Lat 2458,Matched Address 2458,Matched Long 2458,Matched Lat 2458,14
2459,Actual Address 2459,Actual Long 2459,Actual Lat 2459,Matched Address 2459,Matched Long 2459,Matched Lat 2459,15
2460,Actual Address 2460,Actual Long 2460,Actual Lat 2460,Matched Address 2460,Matched Long 2460,Matched Lat 2460,15
2461,Actual Address 2461,Actual Long 2461,Actual Lat 2461,Matched Address 2461,Matched Long 2461,Matched Lat 2461,8
2462,Actual Address 2462,Actual Long 2462,Actual Lat 2462,Matched Address 2462,Matched Long 2462,Matched Lat 2462,8
2463,Actual Address 2463,Actual Long 2463,Actual Lat 2463,Matched Address 2463,Matched Long 2463,Matched Lat 2463,3
2464,Actual Address 2464,Actual Long 2464,Actual Lat 2464,Matched Address 2464,Matched Long 2464,Matched Lat 2464,21
2465,Actual Address 2465,Actual Long 2465,Actual Lat 2465,Matched Address 2465,Matched Long 2465,Matched Lat 2465,12
2466,Actual Address 2466,Actual Long 2466,Actual Lat 2466,Matched Address 2466,Matched Long 2466,Matched Lat 2466,10
2467,Actual Address 2467,Actual Long 2467,Actual Lat 2467,Matched Address 2467,Matched Long 2467,Matched Lat 2467,12
2468,Actual Address 2468,Actual Long 2468,Actual Lat 2468,Matched Address 2468,Matched Long 2468,Matched Lat 2468,17
2469,Actual Address 2469,Actual Long 2469,Actual Lat 2469,Matched Address 2469,Matched Long 2469,Matched Lat 2469,55
2470,Actual Address 2470,Actual Long 2470,Actual Lat 2470,Matched Address 2470,Matched Long 2470,Matched Lat 2470,10
2471,Actual Address 2471,Actual Long 2471,Actual Lat 2471,Matched Address 2471,Matched Long 2471,Matched Lat 2471,77
2472,Actual Address 2472,Actual Long 2472,Actual Lat 2472,Matched Address 2472,Matched Long 2472,Matched Lat 2472,90
2473,Actual Address 2473,Actual Long 2473,Actual Lat 2473,Matched Address 2473,Matched Long 2473,Matched Lat 2473,4078
2474,Actual Address 2474,Actual Long 2474,Actual Lat 2474,Matched Address 2474,Matched Long 2474,Matched Lat 2474,9
2475,Actual Address 2475,Actual Long 2475,Actual Lat 2475,Matched Address 2475,Matched Long 2475,Matched Lat 2475,16
2476,Actual Address 2476,Actual Long 2476,Actual Lat 2476,Matched Address 2476,Matched Long 2476,Matched Lat 2476,964
2477,Actual Address 2477,Actual Long 2477,Actual Lat 2477,Matched Address 2477,Matched Long 2477,Matched Lat 2477,18
2478,Actual Address 2478,Actual Long 2478,Actual Lat 2478,Matched Address 2478,Matched Long 2478,Matched Lat 2478,11
2479,Actual Address 2479,Actual Long 2479,Actual Lat 2479,Matched Address 2479,Matched Long 2479,Matched Lat 2479,782
2480,Actual Address 2480,Actual Long 2480,Actual Lat 2480,Matched Address 2480,Matched Long 2480,Matched Lat 2480,21
2481,Actual Address 2481,Actual Long 2481,Actual Lat 2481,Matched Address 2481,Matched Long 2481,Matched Lat 2481,6
2482,Actual Address 2482,Actual Long 2482,Actual Lat 2482,Matched Address 2482,Matched Long 2482,Matched Lat 2482,13
2483,Actual Address 2483,Actual Long 2483,Actual Lat 2483,Matched Address 2483,Matched Long 2483,Matched Lat 2483,12
2484,Actual Address 2484,Actual Long 2484,Actual Lat 2484,Matched Address 2484,Matched Long 2484,Matched Lat 2484,1077
2485,Actual Address 2485,Actual Long 2485,Actual Lat 2485,Matched Address 2485,Matched Long 2485,Matched Lat 2485,22
2486,Actual Address 2486,Actual Long 2486,Actual Lat 2486,Matched Address 2486,Matched Long 2486,Matched Lat 2486,13
2487,Actual Address 2487,Actual Long 2487,Actual Lat 2487,Matched Address 2487,Matched Long 2487,Matched Lat 2487,35
2488,Actual Address 2488,Actual Long 2488,Actual Lat 2488,Matched Address 2488,Matched Long 2488,Matched Lat 2488,190
2489,Actual Address 2489,Actual Long 2489,Actual Lat 2489,Matched Address 2489,Matched Long 2489,Matched Lat 2489,396
2490,Actual Address 2490,Actual Long 2490,Actual Lat 2490,Matched Address 2490,Matched Long 2490,Matched Lat 2490,10
2491,Actual Address 2491,Actual Long 2491,Actual Lat 2491,Matched Address 2491,Matched Long 2491,Matched Lat 2491,9
2492,Actual Address 2492,Actual Long 2492,Actual Lat 2492,Matched Address 2492,Matched Long 2492,Matched Lat 2492,115
2493,Actual Address 2493,Actual Long 2493,Actual Lat 2493,Matched Address 2493,Matched Long 2493,Matched Lat 2493,15
2494,Actual Address 2494,Actual Long 2494,Actual Lat 2494,Matched Address 2494,Matched Long 2494,Matched Lat 2494,45
2495,Actual Address 2495,Actual Long 2495,Actual Lat 2495,Matched Address 2495,Matched Long 2495,Matched Lat 2495,10
2496,Actual Address 2496,Actual Long 2496,Actual Lat 2496,Matched Address 2496,Matched Long 2496,Matched Lat 2496,25
2497,Actual Address 2497,Actual Long 2497,Actual Lat 2497,Matched Address 2497,Matched Long 2497,Matched Lat 2497,9
2498,Actual Address 2498,Actual Long 2498,Actual Lat 2498,Matched Address 2498,Matched Long 2498,Matched Lat 2498,14
2499,Actual Address 2499,Actual Long 2499,Actual Lat 2499,Matched Address 2499,Matched Long 2499,Matched Lat 2499,20
2500,Actual Address 2500,Actual Long 2500,Actual Lat 2500,Matched Address 2500,Matched Long 2500,Matched Lat 2500,17
2501,Actual Address 2501,Actual Long 2501,Actual Lat 2501,Matched Address 2501,Matched Long 2501,Matched Lat 2501,334
2502,Actual Address 2502,Actual Long 2502,Actual Lat 2502,Matched Address 2502,Matched Long 2502,Matched Lat 2502,18
2503,Actual Address 2503,Actual Long 2503,Actual Lat 2503,Matched Address 2503,Matched Long 2503,Matched Lat 2503,6
2504,Actual Address 2504,Actual Long 2504,Actual Lat 2504,Matched Address 2504,Matched Long 2504,Matched Lat 2504,203
2505,Actual Address 2505,Actual Long 2505,Actual Lat 2505,Matched Address 2505,Matched Long 2505,Matched Lat 2505,24
2506,Actual Address 2506,Actual Long 2506,Actual Lat 2506,Matched Address 2506,Matched Long 2506,Matched Lat 2506,15
2507,Actual Address 2507,Actual Long 2507,Actual Lat 2507,Matched Address 2507,Matched Long 2507,Matched Lat 2507,16
2508,Actual Address 2508,Actual Long 2508,Actual Lat 2508,Matched Address 2508,Matched Long 2508,Matched Lat 2508,10
2509,Actual Address 2509,Actual Long 2509,Actual Lat 2509,Matched Address 2509,Matched Long 2509,Matched Lat 2509,25
2510,Actual Address 2510,Actual Long 2510,Actual Lat 2510,Matched Address 2510,Matched Long 2510,Matched Lat 2510,17
2511,Actual Address 2511,Actual Long 2511,Actual Lat 2511,Matched Address 2511,Matched Long 2511,Matched Lat 2511,333
2512,Actual Address 2512,Actual Long 2512,Actual Lat 2512,Matched Address 2512,Matched Long 2512,Matched Lat 2512,13
2513,Actual Address 2513,Actual Long 2513,Actual Lat 2513,Matched Address 2513,Matched Long 2513,Matched Lat 2513,10
2514,Actual Address 2514,Actual Long 2514,Actual Lat 2514,Matched Address 2514,Matched Long 2514,Matched Lat 2514,15
2515,Actual Address 2515,Actual Long 2515,Actual Lat 2515,Matched Address 2515,Matched Long 2515,Matched Lat 2515,20
2516,Actual Address 2516,Actual Long 2516,Actual Lat 2516,Matched Address 2516,Matched Long 2516,Matched Lat 2516,19
2517,Actual Address 2517,Actual Long 2517,Actual Lat 2517,Matched Address 2517,Matched Long 2517,Matched Lat 2517,7
2518,Actual Address 2518,Actual Long 2518,Actual Lat 2518,Matched Address 2518,Matched Long 2518,Matched Lat 2518,16
2519,Actual Address 2519,Actual Long 2519,Actual Lat 2519,Matched Address 2519,Matched Long 2519,Matched Lat 2519,6
2520,Actual Address 2520,Actual Long 2520,Actual Lat 2520,Matched Address 2520,Matched Long 2520,Matched Lat 2520,15
2521,Actual Address 2521,Actual Long 2521,Actual Lat 2521,Matched Address 2521,Matched Long 2521,Matched Lat 2521,18
2522,Actual Address 2522,Actual Long 2522,Actual Lat 2522,Matched Address 2522,Matched Long 2522,Matched Lat 2522,11
2523,Actual Address 2523,Actual Long 2523,Actual Lat 2523,Matched Address 2523,Matched Long 2523,Matched Lat 2523,20
2524,Actual Address 2524,Actual Long 2524,Actual Lat 2524,Matched Address 2524,Matched Long 2524,Matched Lat 2524,9
2525,Actual Address 2525,Actual Long 2525,Actual Lat 2525,Matched Address 2525,Matched Long 2525,Matched Lat 2525,9
2526,Actual Address 2526,Actual Long 2526,Actual Lat 2526,Matched Address 2526,Matched Long 2526,Matched Lat 2526,12
2527,Actual Address 2527,Actual Long 2527,Actual Lat 2527,Matched Address 2527,Matched Long 2527,Matched Lat 2527,77
2528,Actual Address 2528,Actual Long 2528,Actual Lat 2528,Matched Address 2528,Matched Long 2528,Matched Lat 2528,21
2529,Actual Address 2529,Actual Long 2529,Actual Lat 2529,Matched Address 2529,Matched Long 2529,Matched Lat 2529,15
2530,Actual Address 2530,Actual Long 2530,Actual Lat 2530,Matched Address 2530,Matched Long 2530,Matched Lat 2530,13
2531,Actual Address 2531,Actual Long 2531,Actual Lat 2531,Matched Address 2531,Matched Long 2531,Matched Lat 2531,16
2532,Actual Address 2532,Actual Long 2532,Actual Lat 2532,Matched Address 2532,Matched Long 2532,Matched Lat 2532,19
2533,Actual Address 2533,Actual Long 2533,Actual Lat 2533,Matched Address 2533,Matched Long 2533,Matched Lat 2533,25
2534,Actual Address 2534,Actual Long 2534,Actual Lat 2534,Matched Address 2534,Matched Long 2534,Matched Lat 2534,29
2535,Actual Address 2535,Actual Long 2535,Actual Lat 2535,Matched Address 2535,Matched Long 2535,Matched Lat 2535,12
2536,Actual Address 2536,Actual Long 2536,Actual Lat 2536,Matched Address 2536,Matched Long 2536,Matched Lat 2536,17
2537,Actual Address 2537,Actual Long 2537,Actual Lat 2537,Matched Address 2537,Matched Long 2537,Matched Lat 2537,387
2538,Actual Address 2538,Actual Long 2538,Actual Lat 2538,Matched Address 2538,Matched Long 2538,Matched Lat 2538,9
2539,Actual Address 2539,Actual Long 2539,Actual Lat 2539,Matched Address 2539,Matched Long 2539,Matched Lat 2539,16
2540,Actual Address 2540,Actual Long 2540,Actual Lat 2540,Matched Address 2540,Matched Long 2540,Matched Lat 2540,352
2541,Actual Address 2541,Actual Long 2541,Actual Lat 2541,Matched Address 2541,Matched Long 2541,Matched Lat 2541,4
2542,Actual Address 2542,Actual Long 2542,Actual Lat 2542,Matched Address 2542,Matched Long 2542,Matched Lat 2542,54
2543,Actual Address 2543,Actual Long 2543,Actual Lat 2543,Matched Address 2543,Matched Long 2543,Matched Lat 2543,10
2544,Actual Address 2544,Actual Long 2544,Actual Lat 2544,Matched Address 2544,Matched Long 2544,Matched Lat 2544,9
2545,Actual Address 2545,Actual Long 2545,Actual Lat 2545,Matched Address 2545,Matched Long 2545,Matched Lat 2545,43
2546,Actual Address 2546,Actual Long 2546,Actual Lat 2546,Matched Address 2546,Matched Long 2546,Matched Lat 2546,13
2547,Actual Address 2547,Actual Long 2547,Actual Lat 2547,Matched Address 2547,Matched Long 2547,Matched Lat 2547,21
2548,Actual Address 2548,Actual Long 2548,Actual Lat 2548,Matched Address 2548,Matched Long 2548,Matched Lat 2548,109
2549,Actual Address 2549,Actual Long 2549,Actual Lat 2549,Matched Address 2549,Matched Long 2549,Matched Lat 2549,104
2550,Actual Address 2550,Actual Long 2550,Actual Lat 2550,Matched Address 2550,Matched Long 2550,Matched Lat 2550,13
2551,Actual Address 2551,Actual Long 2551,Actual Lat 2551,Matched Address 2551,Matched Long 2551,Matched Lat 2551,23
2552,Actual Address 2552,Actual Long 2552,Actual Lat 2552,Matched Address 2552,Matched Long 2552,Matched Lat 2552,41
2553,Actual Address 2553,Actual Long 2553,Actual Lat 2553,Matched Address 2553,Matched Long 2553,Matched Lat 2553,13
2554,Actual Address 2554,Actual Long 2554,Actual Lat 2554,Matched Address 2554,Matched Long 2554,Matched Lat 2554,20
2555,Actual Address 2555,Actual Long 2555,Actual Lat 2555,Matched Address 2555,Matched Long 2555,Matched Lat 2555,1170
2556,Actual Address 2556,Actual Long 2556,Actual Lat 2556,Matched Address 2556,Matched Long 2556,Matched Lat 2556,28
2557,Actual Address 2557,Actual Long 2557,Actual Lat 2557,Matched Address 2557,Matched Long 2557,Matched Lat 2557,9
2558,Actual Address 2558,Actual Long 2558,Actual Lat 2558,Matched Address 2558,Matched Long 2558,Matched Lat 2558,5
2559,Actual Address 2559,Actual Long 2559,Actual Lat 2559,Matched Address 2559,Matched Long 2559,Matched Lat 2559,19
2560,Actual Address 2560,Actual Long 2560,Actual Lat 2560,Matched Address 2560,Matched Long 2560,Matched Lat 2560,11
2561,Actual Address 2561,Actual Long 2561,Actual Lat 2561,Matched Address 2561,Matched Long 2561,Matched Lat 2561,5
2562,Actual Address 2562,Actual Long 2562,Actual Lat 2562,Matched Address 2562,Matched Long 2562,Matched Lat 2562,125
2563,Actual Address 2563,Actual Long 2563,Actual Lat 2563,Matched Address 2563,Matched Long 2563,Matched Lat 2563,6
2564,Actual Address 2564,Actual Long 2564,Actual Lat 2564,Matched Address 2564,Matched Long 2564,Matched Lat 2564,17
2565,Actual Address 2565,Actual Long 2565,Actual Lat 2565,Matched Address 2565,Matched Long 2565,Matched Lat 2565,387
2566,Actual Address 2566,Actual Long 2566,Actual Lat 2566,Matched Address 2566,Matched Long 2566,Matched Lat 2566,88
2567,Actual Address 2567,Actual Long 2567,Actual Lat 2567,Matched Address 2567,Matched Long 2567,Matched Lat 2567,1245
2568,Actual Address 2568,Actual Long 2568,Actual Lat 2568,Matched Address 2568,Matched Long 2568,Matched Lat 2568,6
2569,Actual Address 2569,Actual Long 2569,Actual Lat 2569,Matched Address 2569,Matched Long 2569,Matched Lat 2569,162
2570,Actual Address 2570,Actual Long 2570,Actual Lat 2570,Matched Address 2570,Matched Long 2570,Matched Lat 2570,11
2571,Actual Address 2571,Actual Long 2571,Actual Lat 2571,Matched Address 2571,Matched Long 2571,Matched Lat 2571,358
2572,Actual Address 2572,Actual Long 2572,Actual Lat 2572,Matched Address 2572,Matched Long 2572,Matched Lat 2572,310
2573,Actual Address 2573,Actual Long 2573,Actual Lat 2573,Matched Address 2573,Matched Long 2573,Matched Lat 2573,19
2574,Actual Address 2574,Actual Long 2574,Actual Lat 2574,Matched Address 2574,Matched Long 2574,Matched Lat 2574,8
2575,Actual Address 2575,Actual Long 2575,Actual Lat 2575,Matched Address 2575,Matched Long 2575,Matched Lat 2575,23
2576,Actual Address 2576,Actual Long 2576,Actual Lat 2576,Matched Address 2576,Matched Long 2576,Matched Lat 2576,4225
2577,Actual Address 2577,Actual Long 2577,Actual Lat 2577,Matched Address 2577,Matched Long 2577,Matched Lat 2577,23
2578,Actual Address 2578,Actual Long 2578,Actual Lat 2578,Matched Address 2578,Matched Long 2578,Matched Lat 2578,17
2579,Actual Address 2579,Actual Long 2579,Actual Lat 2579,Matched Address 2579,Matched Long 2579,Matched Lat 2579,8
2580,Actual Address 2580,Actual Long 2580,Actual Lat 2580,Matched Address 2580,Matched Long 2580,Matched Lat 2580,27
2581,Actual Address 2581,Actual Long 2581,Actual Lat 2581,Matched Address 2581,Matched Long 2581,Matched Lat 2581,83
2582,Actual Address 2582,Actual Long 2582,Actual Lat 2582,Matched Address 2582,Matched Long 2582,Matched Lat 2582,29
2583,Actual Address 2583,Actual Long 2583,Actual Lat 2583,Matched Address 2583,Matched Long 2583,Matched Lat 2583,8
2584,Actual Address 2584,Actual Long 2584,Actual Lat 2584,Matched Address 2584,Matched Long 2584,Matched Lat 2584,16
2585,Actual Address 2585,Actual Long 2585,Actual Lat 2585,Matched Address 2585,Matched Long 2585,Matched Lat 2585,3252
2586,Actual Address 2586,Actual Long 2586,Actual Lat 2586,Matched Address 2586,Matched Long 2586,Matched Lat 2586,13
2587,Actual Address 2587,Actual Long 2587,Actual Lat 2587,Matched Address 2587,Matched Long 2587,Matched Lat 2587,26
2588,Actual Address 2588,Actual Long 2588,Actual Lat 2588,Matched Address 2588,Matched Long 2588,Matched Lat 2588,18
2589,Actual Address 2589,Actual Long 2589,Actual Lat 2589,Matched Address 2589,Matched Long 2589,Matched Lat 2589,22
2590,Actual Address 2590,Actual Long 2590,Actual Lat 2590,Matched Address 2590,Matched Long 2590,Matched Lat 2590,5
2591,Actual Address 2591,Actual Long 2591,Actual Lat 2591,Matched Address 2591,Matched Long 2591,Matched Lat 2591,25
2592,Actual Address 2592,Actual Long 2592,Actual Lat 2592,Matched Address 2592,Matched Long 2592,Matched Lat 2592,11
2593,Actual Address 2593,Actual Long 2593,Actual Lat 2593,Matched Address 2593,Matched Long 2593,Matched Lat 2593,20
2594,Actual Address 2594,Actual Long 2594,Actual Lat 2594,Matched Address 2594,Matched Long 2594,Matched Lat 2594,14
2595,Actual Address 2595,Actual Long 2595,Actual Lat 2595,Matched Address 2595,Matched Long 2595,Matched Lat 2595,9
2596,Actual Address 2596,Actual Long 2596,Actual Lat 2596,Matched Address 2596,Matched Long 2596,Matched Lat 2596,9
2597,Actual Address 2597,Actual Long 2597,Actual Lat 2597,Matched Address 2597,Matched Long 2597,Matched Lat 2597,219
2598,Actual Address 2598,Actual Long 2598,Actual Lat 2598,Matched Address 2598,Matched Long 2598,Matched Lat 2598,14
2599,Actual Address 2599,Actual Long 2599,Actual Lat 2599,Matched Address 2599,Matched Long 2599,Matched Lat 2599,13
2600,Actual Address 2600,Actual Long 2600,Actual Lat 2600,Matched Address 2600,Matched Long 2600,Matched Lat 2600,8
2601,Actual Address 2601,Actual Long 2601,Actual Lat 2601,Matched Address 2601,Matched Long 2601,Matched Lat 2601,17
2602,Actual Address 2602,Actual Long 2602,Actual Lat 2602,Matched Address 2602,Matched Long 2602,Matched Lat 2602,11
2603,Actual Address 2603,Actual Long 2603,Actual Lat 2603,Matched Address 2603,Matched Long 2603,Matched Lat 2603,216766
2604,Actual Address 2604,Actual Long 2604,Actual Lat 2604,Matched Address 2604,Matched Long 2604,Matched Lat 2604,24
2605,Actual Address 2605,Actual Long 2605,Actual Lat 2605,Matched Address 2605,Matched Long 2605,Matched Lat 2605,14
2606,Actual Address 2606,Actual Long 2606,Actual Lat 2606,Matched Address 2606,Matched Long 2606,Matched Lat 2606,79
2607,Actual Address 2607,Actual Long 2607,Actual Lat 2607,Matched Address 2607,Matched Long 2607,Matched Lat 2607,14
2608,Actual Address 2608,Actual Long 2608,Actual Lat 2608,Matched Address 2608,Matched Long 2608,Matched Lat 2608,13
2609,Actual Address 2609,Actual Long 2609,Actual Lat 2609,Matched Address 2609,Matched Long 2609,Matched Lat 2609,1
